taxa	HCC118	HCC121	HCC108	HCC119	HCC111	HCC103	HCC126	HCC113	HCC117	HCC106	HCC120	HCC124	HCC122	HCC107	HCC109	HCC125	HCC115	HCC114	HCC102	combined	HCC110	HCC101	HCC116	HCC112	HCC105	HCC123	HCC104	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	11.92871	3.96348	2.20501	42.23206	15.64367	0.01	2.75233	0.42023	29.97625	0	8.66418	0.0346	3.25674	2.73965	6.36308	5.58845	0.001	0.14937	0.01686	3.96348	14.7598	0.14541	0.00626	5.10069	0	0.05244	0	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	12.80729	30.16754	34.38669	7.86762	15.98418	10.37115	11.84458	38.74051	5.85958	7.10253	5.71412	5.09394	29.11551	17.55968	9.85977	11.38397	4.69226	8.73154	13.03562	30.16754	15.68753	40.86257	3.51378	6.43843	29.30769	8.78613	18.49261	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	6.23701	0.63679	4.54377	4.85191	2.90216	6.64773	0	16.82784	12.50795	5.74428	1.41732	0.00537	0	8.60831	4.8714	0	0	2.05812	5.53627	0.63679	3.45584	16.41968	0	0.52979	27.8874	0.00635	13.44013	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_3_1	0	0	0	0	0	0	0	0	0	0	0	0.0019	0	0.00107	0.00248	0	0	0.00104	0	0	0	0	0.00344	0	0	0.00075	0	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	0.08437	0.06563	0.8032	0.11964	0.15969	0.0578	0.47626	0.36323	0.03663	0.08294	0.22538	0.01281	0.07209	0.35703	0.30204	0.05509	0.06524	0.41517	0.27869	0.06563	0.4544	0.19435	0.14364	0.46599	0.0092	0.00378	0.16637	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	11.92871	3.96348	2.20501	42.23206	15.64367	0.01	2.75233	0.42023	29.97625	0	8.66418	0.0346	3.25674	2.73965	6.36308	5.58845	0.001	0.14937	0.01686	3.96348	14.7598	0.14541	0.00626	5.10069	0	0.05244	0	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	0.79122	2.7545	3.60667	1.19776	0.84159	2.83528	1.74419	2.48032	0.26723	3.2942	4.08198	0.95886	7.16658	1.54001	2.81977	0.34136	2.55858	3.29958	4.1429	2.7545	4.47975	1.35025	3.53244	1.89041	0.89915	0.31747	2.90318	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	0.01482	0	0.07431	0.01258	0.02725	0.2473	0.00712	0	0.00161	0.16541	0.01754	0.02642	0.0296	0.0258	0.01008	0	0.04974	0.01352	0.19287	0	0.06492	0.00637	0.06957	0.09455	0.00091	0	0.21771	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae_complex	0	0	0	0	0	0	0	0.05956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0	0	0	0.00838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis	1.63067	0.4066	0.27945	1.24625	1.91376	0.08563	0.41532	0.16838	3.63675	0.52131	0.73774	0.08709	0.77567	0.28157	1.05125	1.35004	1.46281	0.03901	0.33568	0.4066	0.70631	2.47184	2.32765	0.2172	1.72734	0.14695	0.22582	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	1.63067	0.4066	0.27945	1.24625	1.91376	0.08563	0.41532	0.16838	3.63675	0.52131	0.73774	0.08709	0.77567	0.28157	1.05125	1.35004	1.46281	0.03901	0.33568	0.4066	0.70631	2.47184	2.32765	0.2172	1.72734	0.14695	0.22582	
